,data,stato,codice_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,note_it,note_en,regione,abitanti
0,2020-02-24T18:00:00,ITA,13,42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,0,5,,,Abruzzo,1322247
1,2020-02-25T18:00:00,ITA,13,42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,0,5,,,Abruzzo,1322247
2,2020-02-26T18:00:00,ITA,13,42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,0,13,,,Abruzzo,1322247
3,2020-02-27T18:00:00,ITA,13,42.35122196,13.39843823,1,0,1,0,1,1,1,0,0,1,33,,,Abruzzo,1322247
4,2020-02-28T18:00:00,ITA,13,42.35122196,13.39843823,1,0,1,0,1,0,0,0,0,1,33,,,Abruzzo,1322247
5,2020-02-29T17:00:00,ITA,13,42.35122196,13.39843823,2,0,2,0,2,1,1,0,0,2,43,,,Abruzzo,1322247
6,2020-03-01T17:00:00,ITA,13,42.35122196,13.39843823,3,0,3,2,5,3,3,0,0,5,52,,,Abruzzo,1322247
7,2020-03-02T18:00:00,ITA,13,42.35122196,13.39843823,3,0,3,2,5,0,0,0,0,5,52,,,Abruzzo,1322247
8,2020-03-03T18:00:00,ITA,13,42.35122196,13.39843823,5,0,5,1,6,1,1,0,0,6,52,,,Abruzzo,1322247
9,2020-03-04T17:00:00,ITA,13,42.35122196,13.39843823,7,0,7,0,7,1,1,0,0,7,85,,,Abruzzo,1322247
10,2020-03-05T17:00:00,ITA,13,42.35122196,13.39843823,8,0,8,0,8,1,1,0,0,8,96,,,Abruzzo,1322247
11,2020-03-06T17:00:00,ITA,13,42.35122196,13.39843823,9,0,9,0,9,1,1,0,0,9,96,,,Abruzzo,1322247
12,2020-03-07T18:00:00,ITA,13,42.35122196,13.39843823,11,0,11,0,11,2,2,0,0,11,123,,,Abruzzo,1322247
13,2020-03-08T18:00:00,ITA,13,42.35122196,13.39843823,14,0,14,3,17,6,6,0,0,17,163,,,Abruzzo,1322247
14,2020-03-09T18:00:00,ITA,13,42.35122196,13.39843823,25,0,25,5,30,13,13,0,0,30,237,,,Abruzzo,1322247
15,2020-03-10T18:00:00,ITA,13,42.35122196,13.39843823,17,9,26,11,37,7,8,0,1,38,310,,,Abruzzo,1322247
16,2020-03-11T17:00:00,ITA,13,42.35122196,13.39843823,17,9,26,11,37,0,0,0,1,38,310,nd-IT-0001,nd-EN-0001,Abruzzo,1322247
17,2020-03-12T17:00:00,ITA,13,42.35122196,13.39843823,47,12,59,19,78,41,46,4,2,84,867,,,Abruzzo,1322247
18,2020-03-13T17:00:00,ITA,13,42.35122196,13.39843823,42,14,56,27,83,5,5,4,2,89,958,,,Abruzzo,1322247
19,2020-03-14T17:00:00,ITA,13,42.35122196,13.39843823,51,14,65,41,106,23,23,4,2,112,1232,,,Abruzzo,1322247
20,2020-03-15T17:00:00,ITA,13,42.35122196,13.39843823,72,28,100,28,128,22,25,6,3,137,1419,,,Abruzzo,1322247
21,2020-03-16T17:00:00,ITA,13,42.35122196,13.39843823,71,37,108,57,165,37,39,7,4,176,1533,,,Abruzzo,1322247
22,2020-03-17T17:00:00,ITA,13,42.35122196,13.39843823,94,32,126,90,216,51,53,7,6,229,1688,,,Abruzzo,1322247
23,2020-03-18T17:00:00,ITA,13,42.35122196,13.39843823,99,41,140,109,249,33,34,7,7,263,2054,,,Abruzzo,1322247
24,2020-03-19T17:00:00,ITA,13,42.35122196,13.39843823,181,47,228,138,366,117,122,8,11,385,2409,,,Abruzzo,1322247
25,2020-03-20T17:00:00,ITA,13,42.35122196,13.39843823,190,48,238,184,422,56,64,10,17,449,2695,,,Abruzzo,1322247
26,2020-03-21T17:00:00,ITA,13,42.35122196,13.39843823,185,44,229,265,494,72,80,13,22,529,3035,,,Abruzzo,1322247
27,2020-03-22T17:00:00,ITA,13,42.35122196,13.39843823,218,49,267,272,539,45,58,15,33,587,3375,,,Abruzzo,1322247
28,2020-03-23T17:00:00,ITA,13,42.35122196,13.39843823,228,52,280,325,605,66,76,20,38,663,3674,,,Abruzzo,1322247
29,2020-03-24T17:00:00,ITA,13,42.35122196,13.39843823,234,57,291,331,622,17,26,21,46,689,4294,,,Abruzzo,1322247
30,2020-03-25T17:00:00,ITA,13,42.35122196,13.39843823,248,59,307,431,738,116,124,23,52,813,4982,,,Abruzzo,1322247
31,2020-03-26T17:00:00,ITA,13,42.35122196,13.39843823,280,64,344,516,860,122,133,23,63,946,5488,,,Abruzzo,1322247
32,2020-03-27T17:00:00,ITA,13,42.35122196,13.39843823,289,71,360,565,925,65,71,24,68,1017,6109,,,Abruzzo,1322247
33,2020-03-28T17:00:00,ITA,13,42.35122196,13.39843823,311,70,381,646,1027,102,116,30,76,1133,7003,,,Abruzzo,1322247
34,2020-03-29T17:00:00,ITA,13,42.35122196,13.39843823,329,68,397,772,1169,142,160,36,88,1293,7730,,,Abruzzo,1322247
35,2020-03-30T17:00:00,ITA,13,42.35122196,13.39843823,322,69,391,778,1169,0,52,74,102,1345,7948,,,Abruzzo,1322247
36,2020-03-31T17:00:00,ITA,13,42.35122196,13.39843823,335,73,408,783,1191,22,56,95,115,1401,8758,,,Abruzzo,1322247
37,2020-02-24T18:00:00,ITA,17,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,,,Basilicata,570365
38,2020-02-25T18:00:00,ITA,17,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,,,Basilicata,570365
39,2020-02-26T18:00:00,ITA,17,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,,,Basilicata,570365
40,2020-02-27T18:00:00,ITA,17,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,,,Basilicata,570365
41,2020-02-28T18:00:00,ITA,17,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,,,Basilicata,570365
42,2020-02-29T17:00:00,ITA,17,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,32,,,Basilicata,570365
43,2020-03-01T17:00:00,ITA,17,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,39,,,Basilicata,570365
44,2020-03-02T18:00:00,ITA,17,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,39,,,Basilicata,570365
45,2020-03-03T18:00:00,ITA,17,40.63947052,15.80514834,0,0,0,1,1,1,1,0,0,1,42,,,Basilicata,570365
46,2020-03-04T17:00:00,ITA,17,40.63947052,15.80514834,0,0,0,1,1,0,0,0,0,1,48,,,Basilicata,570365
47,2020-03-05T17:00:00,ITA,17,40.63947052,15.80514834,0,0,0,1,1,0,0,0,0,1,54,,,Basilicata,570365
48,2020-03-06T17:00:00,ITA,17,40.63947052,15.80514834,1,0,1,2,3,2,2,0,0,3,63,,,Basilicata,570365
49,2020-03-07T18:00:00,ITA,17,40.63947052,15.80514834,1,0,1,2,3,0,0,0,0,3,75,,,Basilicata,570365
50,2020-03-08T18:00:00,ITA,17,40.63947052,15.80514834,2,0,2,2,4,1,1,0,0,4,123,,,Basilicata,570365
51,2020-03-09T18:00:00,ITA,17,40.63947052,15.80514834,2,0,2,3,5,1,1,0,0,5,135,,,Basilicata,570365
52,2020-03-10T18:00:00,ITA,17,40.63947052,15.80514834,2,0,2,5,7,2,2,0,0,7,148,,,Basilicata,570365
53,2020-03-11T17:00:00,ITA,17,40.63947052,15.80514834,1,1,2,6,8,1,1,0,0,8,155,,,Basilicata,570365
54,2020-03-12T17:00:00,ITA,17,40.63947052,15.80514834,1,1,2,6,8,0,0,0,0,8,155,,,Basilicata,570365
